Dosya,MSE_Noisy,MSE_Filtered,SNR_Noisy_dB,SNR_Filtered_dB,SNR_Improvement_dB
227.wav,0.0046627903,0.005144488204292065,7.3998737,6.972910722160021,-0.42696301136048653
228.wav,0.0010532371,0.0007591209113865931,13.474297,14.896448516215678,1.422151946391459
229.wav,0.0009792019,0.0006392519735837447,16.045095,17.89709565459981,1.8520002108742233
23.wav,0.16199331,0.029411331695486456,-7.0124464,0.39737748028799824,7.409823883791416
230.wav,0.0013409834,0.0007614724908919936,13.826834,16.284526077406426,2.45769235243084
231.wav,0.0007688954,0.0008253315821540242,13.538922,13.231309874951398,-0.3076124349240903
232.wav,0.0009122965,0.000685229180120263,10.879699,12.122700368192058,1.2430016148351246
234.wav,0.009678555,0.0029787119895579427,1.5414447,6.659264723324282,5.117820064091188
235.wav,0.0057356893,0.0018431969524898624,5.038367,9.968505818884395,4.930139024298214
237.wav,0.00071283843,0.000650491979849758,16.004234,16.40172632205915,0.3974920080943072
238.wav,0.0006040617,0.0006113769766929317,14.967268,14.914989812032287,-0.05227817808001767
24.wav,0.15749416,0.020210518304562556,-10.015744,-1.098874164638561,8.91687004465099
241.wav,0.0006757254,0.0004635493243104445,13.586234,15.222976710428238,1.6367426177158357
243.wav,0.009402976,0.00411979983916322,2.990097,6.573989393333225,3.5838923474347872
244.wav,0.013473641,0.005487717583172229,0.41616055,4.317092971072788,3.9009324173790167
245.wav,0.009999435,0.006017501762145498,5.507577,7.713169430408728,2.2055924879648803
247.wav,0.010719492,0.005986305982019744,5.5185747,8.048727527305973,2.530152812645328
248.wav,0.055981226,0.053084856816742465,-5.258305,-5.0275873652393415,0.23071770754508236
249.wav,0.064631,0.061841211869586604,-4.5590196,-4.367390470135634,0.19162909544664153
25.wav,0.22137003,0.027787016966001575,-11.216022,-2.203253565691288,9.012767972089474
250.wav,0.0392609,0.03686043108166206,-4.5076566,-4.233657998068608,0.27399857618065937
251.wav,0.120261185,0.11287746073246192,-9.055154,-8.779971597287572,0.2751822494531506
252.wav,0.10269184,0.09827781241413219,-12.428489,-12.237684952414243,0.1908037789700341
253.wav,0.1005809,0.09565343066272831,-12.185098,-11.966948879354591,0.21814881504238137
254.wav,0.107649244,0.10247144323531274,-12.428915,-12.214833636041842,0.21408138776186902
255.wav,0.10968794,0.10554953615194172,-11.957573,-11.790546635356716,0.1670263016550031
256.wav,0.2516552,0.024510401802281527,-14.209433,-4.094877953880238,10.114554648048472
257.wav,0.09326756,0.08975820409031846,-7.792432,-7.6258670584591135,0.16656477290074978
258.wav,0.08451887,0.08199188844855146,-9.2888975,-9.157069483645236,0.13182803069802596
259.wav,0.093022294,0.08947806720507413,-6.7303324,-6.561628272583247,0.16870410198950658
26.wav,0.19154093,0.031575958348136625,-8.352252,-0.5232017107470048,7.829050295783757
261.wav,0.004220326,0.009175098320610942,12.259675,8.887028225471811,-3.3726468004681305
262.wav,0.101644635,0.0189818283055342,-7.1903796,0.09708482176141678,7.2874644413598055
263.wav,0.11190298,0.032589449427429924,-2.755017,2.6026294004104065,5.357646442570441
264.wav,0.007489231,0.005869008706964081,4.8691635,5.927888062704353,1.0587245495207593
266.wav,0.13361059,0.021941494139171836,-8.249937,-0.4041898944553182,7.845747163039799
267.wav,0.026114682,0.02637314305740599,3.5968652,3.5540937696430266,-0.042771407511514425
268.wav,0.0441354,0.04477022887036319,2.5567043,2.494681867818294,-0.062022414942326076
269.wav,0.043675177,0.04396200099000275,2.7820244,2.7535966858180085,-0.028427697726913337
27.wav,0.13470829,0.015162288940890296,-10.985213,-1.4989183455215658,9.486294934202554
270.wav,0.045923688,0.044753600436289065,2.0065556,2.1186433210672337,0.11208776381625718
271.wav,0.039083716,0.03811158003899035,2.0392642,2.1486530695998574,0.10938886748193744
272.wav,0.058335297,0.05937432698435476,3.3348985,3.2582253641716403,-0.07667310766063506
273.wav,0.049717516,0.05038326877574519,3.486013,3.4282434473515178,-0.057769488286909976
275.wav,0.048495527,0.049104280524039604,3.18681,3.1326331938815906,-0.05417682275048952
276.wav,0.047814958,0.048486629777114744,3.4305196,3.369937552312774,-0.06058202852829053
277.wav,0.041898392,0.042347629273128906,3.2322497,3.185931962222937,-0.04631777456295172
278.wav,0.042727515,0.04175757927186615,1.3602132,1.4599363356807162,0.09972317516588469
280.wav,0.15559128,0.058951035441514255,-1.7939296,2.421008385053071,4.21493796192685
281.wav,0.046580367,0.04968807788502692,3.6231709,3.342678087129177,-0.2804927655319558
282.wav,0.041512623,0.043598978780090406,3.1402025,2.927241182736193,-0.2129613395416392
283.wav,0.15149873,0.0529869717205646,-2.723022,1.839376928495942,4.562398912596284
284.wav,0.045691982,0.04718761648397414,3.050768,2.910887544885294,-0.13988035367427631
285.wav,0.14882949,0.04421175933553025,-3.4308836,1.8406281296908507,5.271511775702203
286.wav,0.15194562,0.05316510485674909,-2.7457104,1.814904689732455,4.560615062657259
287.wav,0.044099245,0.04432898658217774,3.021158,2.9985913928704755,-0.02256658709473447
288.wav,0.15608849,0.05704520968769711,-2.143114,2.2284025828438163,4.371516672809637
289.wav,0.14903201,0.06017228058870598,-1.8476391,2.091192052179657,3.9388311360419617
29.wav,0.09976541,0.013249354938197655,-7.945576,0.8222760454170197,8.767852236365506
290.wav,0.1511887,0.04910575904736348,-2.9614887,1.9223802231315728,4.883868946886455
291.wav,0.15304461,0.0536307506450995,-2.5728674,1.9811744976023666,4.554041891096019
292.wav,0.15391022,0.05483177681465247,-1.9667529,2.5155986880598027,4.4823515748319585
293.wav,0.14829871,0.048041085250474125,-2.8628447,2.032400625726011,4.895245331307676
294.wav,0.14900178,0.056607033128689116,-2.3085914,1.8946191934196683,4.203210559233877
295.wav,0.16216834,0.06661696158226588,-1.5736272,2.2901853138531565,3.8638125473584055
296.wav,0.15584585,0.058890839151708486,-2.1284082,2.098066904077342,4.226475097665599
297.wav,0.04597662,0.04693118959109229,3.2183328,3.1290873826095438,-0.08924538487702849
298.wav,0.044632263,0.04656215168323298,3.0648022,2.880960641047181,-0.1838415287526236
299.wav,0.1562959,0.050421979402724686,-2.4714653,2.4418113279763993,4.913276677173787
30.wav,0.19178413,0.02915040121942861,-9.303593,-1.1219114598539224,8.181681222030843
300.wav,0.14691338,0.04678087177083051,-3.3593564,1.6105738020086648,4.9699302053594945
301.wav,0.16709687,0.07372949623558514,-1.4382732,2.1149973681562275,3.553270559608254
302.wav,0.2534057,0.03944811466522693,-9.687032,-1.6091310839456803,8.077900661964964
303.wav,0.25588223,0.025695190719670635,-14.163337,-4.181454560719991,9.981882193125223
305.wav,0.22134413,0.029339740369239017,-10.793523,-2.0174051987558226,8.77611763602201
306.wav,0.27761993,0.033218528620580313,-12.281756,-3.061054545041464,9.220701856020547
307.wav,0.251418,0.024054403084961845,-14.08106,-3.889042821964349,10.19201758758155
308.wav,0.20107402,0.022304928370888776,-12.568544,-3.0189921824402086,9.549552205377175
309.wav,0.1408989,0.019024538027285775,-10.127058,-1.4311226015549539,8.695935427619851
31.wav,0.1260637,0.013590065268251314,-10.399973,-0.7262887578205413,9.673684157828873
310.wav,0.14590351,0.016824110794487743,-11.334806,-1.9534705277262696,9.381335914534473
311.wav,0.20071656,0.023940956568017178,-11.669116,-2.434699471161127,9.234416549041509
312.wav,0.16147675,0.016655852380832864,-12.5931835,-2.727751648717993,9.865431868738062
313.wav,0.16023752,0.018646564808609396,-11.644044,-2.302389571559154,9.341654350865163
314.wav,0.13381335,0.012104178512921964,-14.354119,-3.9184784380716065,10.43564086277068
315.wav,0.14369836,0.01991156469683383,-9.807526,-1.2240611062456945,8.583464528519931
316.wav,0.00018398838,0.0016391847932905842,18.438284,8.93990906399489,-9.498374856293196
319.wav,0.002266961,0.0020043622243220063,10.721931,11.256609717622792,0.5346782601032611
32.wav,0.24662347,0.036616195288873256,-9.796811,-1.5131992662224771,8.283611837598324
321.wav,0.005201808,0.0032506877024607323,4.981508,7.023298811847427,2.0417910336797025
323.wav,4.7448568e-05,0.0002085172026091709,25.720997,19.291808543474048,-6.4291883132154055
324.wav,0.00011540726,0.0004993854442557124,20.305307,13.94327961202794,-6.362027776277724
326.wav,0.0017075092,0.0017715561617508504,7.847948,7.688029273224355,-0.15991880111646495
327.wav,0.0015454495,0.0009207579787713092,9.072998,11.322090813120745,2.249092766245745
328.wav,4.6398614e-05,0.0001039409794069203,24.816498,21.313680935308863,-3.502816867425512
33.wav,0.21574378,0.029164250094566975,-10.311547,-1.620672817371506,8.690874461986404
332.wav,0.00018775612,0.0005791800447957555,17.952991,13.060795721127585,-4.892195764468118
335.wav,0.0041035796,0.0036765243855044235,4.8155236,5.292777910663977,0.47725428624381117
336.wav,0.008948503,0.003573229998767465,1.6874028,5.674296964055021,3.9868941196260046
337.wav,0.0027275372,0.0017622734116397427,6.7601833,8.657157671587678,1.8969743372370917
338.wav,0.017652614,0.006999539131189577,-1.6421719,2.375223693725833,4.017395553467043
339.wav,7.07263e-05,0.00020642943586117256,23.37125,18.719343234668422,-4.651906917919469
34.wav,0.19147468,0.031168523000984487,-8.583003,-0.6990513778571827,7.883951666271235
340.wav,0.00015017143,0.006358055478464511,23.58807,7.320701628511637,-16.26736828725985
341.wav,0.00383939,0.015711104132421716,10.651535,4.532090254730043,-6.119444779449645
344.wav,0.19343962,0.049003607600167476,-6.1187987,-0.15562540583272666,5.963173326924842
345.wav,0.019559849,0.01758257594417369,2.0628457,2.5256756738798813,0.4628299669401841
